Brand,Model,Price,Year,Mileage,Transmission type,Fuel type,Location,Link,Posted On
Opel,Vectra,"280,000 EGP",2003,"170,000 KM",Automatic,Gas,"Mansoura, Dakahlia",https://eg.hatla2ee.com/en/car/opel/vectra/7238427,2026-06-25
Fiat,500 X,"1,100,000 EGP",2021,"58,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/fiat/500X/7238428,2026-06-25
Mitsubishi,Eclipse Cross,"1,020,000 EGP",2021,"80,000 KM",Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/car/mitsubishi/Eclipse-Cross/7238425,2026-06-25
Mercedes,CLA 300L,"2,900,000 EGP",2026,0 KM,Automatic,Electric,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/mercedes/cla-300l/unit/7203330,2026-06-25
Renault,Logan,"175,000 EGP",2010,"310,000 KM",Manual,Gas,"Zahraa Al Maadi, Maadi, Cairo",https://eg.hatla2ee.com/en/car/renault/logan/7238424,2026-06-25
Suzuki,Van,"560,000 EGP",2026,0 KM,Manual,Gas,"10th of Ramadan, Cairo",https://eg.hatla2ee.com/en/new-car/suzuki/van/unit/7238423,2026-06-25
Ford,Bronco Raptor,"9,000,000 EGP",2024,"12,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/ford/Bronco-Raptor/7188661,2026-06-25
Cadillac,Vistiq,"4,980,000 EGP",2026,0 KM,Automatic,Electric,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/cadillac/vistiq/unit/7192345,2026-06-25
Nissan,Sunny,"650,000 EGP",2022,"230,000 KM",Automatic,Gas,Giza,https://eg.hatla2ee.com/en/car/nissan/sunny/7238414,2026-06-25
BMW,318,"3,000,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/bmw/318/unit/7192352,2026-06-25
Fiat,128,"35,000 EGP",1985,0 KM,Manual,Diesel,"Kom Hamada, Beheira",https://eg.hatla2ee.com/en/car/fiat/128/7238422,2026-06-25
Nissan,Armada,"6,945,000 EGP",2025,"7,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/nissan/armada/7192336,2026-06-25
Land Rover,Range Rover Evoque,"4,200,000 EGP",2026,0 KM,Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/new-car/land-rover/evoque/unit/7195805,2026-06-25
Land Rover,Range Rover Evoque,"4,200,000 EGP",2026,0 KM,Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/new-car/land-rover/evoque/unit/7195811,2026-06-25
Xiaomi,Yu7,"3,150,000 EGP",2025,0 KM,Automatic,Electric,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/new-car/xiaomi/xiaomi-yu7/unit/7195835,2026-06-25
Opel,Grandland,"1,550,000 EGP",2024,"59,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/opel/Grandland/7238420,2026-06-25
Mercedes,E 200,"2,700,000 EGP",2024,"4,628 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/mercedes/e-200/7190916,2026-06-25
Mercedes,C 200,"4,200,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/mercedes/c-200/unit/7195765,2026-06-25
Fiat,500 X,"1,100,000 EGP",2026,0 KM,Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/new-car/fiat/500X/unit/7238417,2026-06-25
Opel,Crossland,"740,000 EGP",2021,"80,000 KM",Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/car/opel/Crossland/7238415,2026-06-25
Xiaomi,Yu7,"3,150,000 EGP",2025,0 KM,Automatic,Electric,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/new-car/xiaomi/xiaomi-yu7/unit/7195762,2026-06-25
